三向对比 —— 为「所有对话全权交给 AI」选底座（2026-09-19）
system = assets/ralsei_persona.md（1591 字，三模型同源）
options = {"temperature": 0.85, "top_p": 0.92, "repeat_penalty": 1.15, "num_ctx": 8192, "num_predict": 256}
每个场景 2 条；事件类过 first_sentence(24) + guard_reaction（出戏/客服腔/旁白）
本地已有：qwen2.5:3b, qwen2.5:7b-instruct, qwen3:4b-instruct-2507-q4_K_M, ralsei:latest, ralsei:v2
==============================================================================

##############################################################################
## 3B ralsei:v2（现用）   (ralsei:v2)
##############################################################################
预热（含冷加载）：首字 13606ms / 整句 14754ms

    #1  2117ms/ 3418ms ▸「你还没休息呢，早点睡吧。」
    #2   312ms/ 1329ms ▸「辛苦了，早点休息吧。」

  --- [E] 摔下来爬起  (fall_recover)
    #1  2015ms/ 3018ms ▸「好疼啊，慢慢来……」
    #2   319ms/ 1487ms ▸「好疼啊……不过还得站起来。」

  --- [E] 拒绝·已经吃饱  (refuse_full)
    #1  2226ms/ 3503ms ▸「我不饿了呢，谢谢你想着我。」
    #2   318ms/ 1736ms ▸「谢谢主人的好意，我自己吃饱了。」

  --- [E] 回执·翻到第3页  (ppt_page)
    #1  2302ms/ 3153ms ▸「已经是第3页了。」
    #2   312ms/ 1283ms ▸「已经翻到第三页了。」

  --- [E] 回执·桌面文件数  (file_count)
    #1  2247ms/ 3222ms ▸「桌面有27个文件。」
    #2   309ms/ 1284ms ▸「桌面有27个文件。」

  --- [E] 回执·游戏规则  (game_rule)
    #1  2200ms/ 3875ms ▸「好的，请输入1到100间的数字吧。」
    #2   313ms/ 1842ms ▸「好的，请输入1到100间的数字。」

  --- [D] 对话·上班被骂  (q_tired)
    #1  1823ms/ 3632ms ▸ 听你这么说我也很难过……先缓一缓吧。
    #2   311ms/ 1561ms ▸ 听着真让人沮丧……休息一下吧。

  --- [D] 对话·极短输入  (q_short)
    #1  1542ms/ 1975ms ▸ 在线呢。
    #2   311ms/  725ms ▸ 在线呢。

==============================================================================
## 汇总（事件类口径；耗时单位 ms，取中位数）
模型                                样本       判退       事件首字       事件整句       全部整句
3B ralsei:v2（现用）                  28        1        530       1214       1192
4B qwen3-instruct-2507（新拉）        28        0        829       1815       1738
7B qwen2.5（参照）                    28        0       1041       1996       1908

  3B ralsei:v2（现用） 判退构成：{"banned": 1}
